FuncAddr			CpuTime		Percentage		SelfTime		Percentage		CallTimes		AvarageSelfTime
0x4ffff07c77a0		17277				0.000004%		15233				0.000004%		1			15233.000000
0x4ffff0ba02e8		165067				0.000040%		161576				0.000039%		1			161576.000000
0x4ffff09cfad8		940				0.000000%		940				0.000000%		1			940.000000
0x4ffff0965a80		364735				0.000088%		280328				0.000068%		1			280328.000000
0x4ffff07e2ac8		200184				0.000048%		200184				0.000048%		62			3228.774194
0x4ffff07c7638		79				0.000000%		79				0.000000%		1			79.000000
0x4ffff15c1754		42515				0.000010%		42515				0.000010%		7			6073.571429
0x4ffff0b90d14		21755				0.000005%		21755				0.000005%		132			164.810606
0x4ffff0732ccc		133				0.000000%		133				0.000000%		2			66.500000
0x4ffff0b8c9b8		2243954				0.000542%		1224809				0.000296%		1			1224809.000000
0x4ffff07469c8		645				0.000000%		645				0.000000%		1			645.000000
0x4ffff0a39454		23072727				0.005575%		417558				0.000101%		1			417558.000000
0x4ffff086c3b4		18838051				0.004552%		18838051				0.004552%		66			285425.015152
0x4ffff0700900		3236156				0.000782%		3236156				0.000782%		18			179786.444444
0x4ffff070fadc		111317941				0.026897%		87301				0.000021%		1			87301.000000
0x4ffff0963cdc		711				0.000000%		711				0.000000%		1			711.000000
0x4ffff09b3dbc		560120				0.000135%		76608				0.000019%		1			76608.000000
0x4ffff15c13c8		147942601				0.035747%		147942601				0.035747%		13			11380200.076923
0x4ffff07c7438		1857				0.000000%		1857				0.000000%		4			464.250000
0x4ffff077a844		944				0.000000%		944				0.000000%		1			944.000000
0x4ffff0b9bfcc		52662				0.000013%		41429				0.000010%		1			41429.000000
0x4ffff0732ed0		13231				0.000003%		13151				0.000003%		2			6575.500000
0x4ffff0a4bd00		552312				0.000133%		426058				0.000103%		1			426058.000000
0x4ffff0700db8		192496				0.000047%		27138				0.000007%		1			27138.000000
0x4ffff08350b8		3027				0.000001%		3027				0.000001%		1			3027.000000
0x4ffff073e538		60726				0.000015%		23441				0.000006%		2			11720.500000
0x4ffff0a0d2a8		4481535				0.001083%		221337				0.000053%		1			221337.000000
0x4ffff0742b64		3063				0.000001%		3063				0.000001%		1			3063.000000
0x4ffff0a0aabc		87				0.000000%		87				0.000000%		2			43.500000
0x4ffff09d3d60		457133				0.000110%		455234				0.000110%		1			455234.000000
0x4ffff07459d8		932				0.000000%		932				0.000000%		1			932.000000
0x4ffff07ef3f4		31060				0.000008%		31060				0.000008%		1			31060.000000
0x4ffff0834da8		4462				0.000001%		4462				0.000001%		1			4462.000000
0x4ffff07b6508		68				0.000000%		68				0.000000%		1			68.000000
0x4ffff15c1314		151824256				0.036685%		151824256				0.036685%		76			1997687.578947
0x4ffff0736100		32200				0.000008%		32200				0.000008%		2			16100.000000
0x4ffff07c6bd0		2634				0.000001%		2634				0.000001%		20			131.700000
0x4ffff0999138		7304972				0.001765%		2449415				0.000592%		1			2449415.000000
0x4ffff0a65e34		15762027				0.003809%		421076				0.000102%		1			421076.000000
0x4ffff0739d28		51				0.000000%		51				0.000000%		1			51.000000
0x4ffff077a9b0		2054				0.000000%		2054				0.000000%		11			186.727273
0x4ffff0b20560		3705				0.000001%		3705				0.000001%		1			3705.000000
0x4ffff07a0764		1014384058				0.245103%		157364				0.000038%		1			157364.000000
0x4ffff0747920		351				0.000000%		351				0.000000%		3			117.000000
0x4ffff09954e0		27777				0.000007%		27777				0.000007%		1			27777.000000
0x4ffff07331b0		55				0.000000%		55				0.000000%		1			55.000000
0x4ffff07c64cc		285				0.000000%		285				0.000000%		1			285.000000
0x4ffff073435c		108				0.000000%		108				0.000000%		2			54.000000
0x4ffff0736010		58				0.000000%		58				0.000000%		1			58.000000
0x4ffff0800470		1381392				0.000334%		87242				0.000021%		1			87242.000000
0x4ffff06e96f0		21693				0.000005%		21693				0.000005%		1			21693.000000
0x4ffff082a504		128688				0.000031%		128688				0.000031%		3405			37.793833
0x4ffff0777d78		15115				0.000004%		15115				0.000004%		185			81.702703
0x4ffff07c4cf0		1297				0.000000%		1297				0.000000%		3			432.333333
0x4ffff0733638		58				0.000000%		58				0.000000%		1			58.000000
0x4ffff06caa48		622484				0.000150%		553022				0.000134%		106			5217.188679
